player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,rad_win
Shadow Demon,Puck,Doom,Spirit Breaker,Ursa,Visage,Night Stalker,Venomancer,Windranger,Earthshaker,False
Sniper,Outworld Devourer,Spirit Breaker,Faceless Void,Wraith King,Bounty Hunter,Treant Protector,Slark,Shadow Demon,Nature's Prophet,False
Clockwerk,Broodmother,Drow Ranger,Troll Warlord,Pudge,Sven,Axe,Earthshaker,Zeus,Nature's Prophet,False
Outworld Devourer,Enchantress,Templar Assassin,Centaur Warrunner,Troll Warlord,Tidehunter,Earthshaker,Bristleback,Sven,Earth Spirit,True
Bristleback,Enchantress,Lich,Doom,Tiny,Clinkz,Visage,Pudge,Undying,Drow Ranger,True
Lina,Zeus,Troll Warlord,Disruptor,Drow Ranger,Batrider,Terrorblade,Bloodseeker,Clinkz,Nyx Assassin,False
Tinker,Pudge,Vengeful Spirit,Phantom Lancer,Timbersaw,Shadow Demon,Wraith King,Shadow Fiend,Weaver,Mirana,True
Jakiro,Kunkka,Pudge,Drow Ranger,Windranger,Pugna,Sand King,Nature's Prophet,Ancient Apparition,Huskar,True
Pudge,Shadow Shaman,Anti-Mage,Viper,Axe,Queen of Pain,Alchemist,Phantom Assassin,Clinkz,Tidehunter,True
Night Stalker,Pudge,Ursa,Lifestealer,Zeus,Omniknight,Monkey King,Razor,Phantom Assassin,Outworld Devourer,True
Pudge,Night Stalker,Drow Ranger,Broodmother,Legion Commander,Necrophos,Templar Assassin,Viper,Bloodseeker,Phantom Assassin,True
Bloodseeker,Vengeful Spirit,Slardar,Pudge,Rubick,Phantom Lancer,Juggernaut,Naga Siren,Viper,Ember Spirit,True
Ancient Apparition,Invoker,Monkey King,Nature's Prophet,Alchemist,Drow Ranger,Weaver,Morphling,Lich,Puck,False
Shadow Fiend,Vengeful Spirit,Pugna,Tinker,Omniknight,Shadow Shaman,Skywrath Mage,Necrophos,Troll Warlord,Weaver,False
Templar Assassin,Crystal Maiden,Shadow Shaman,Juggernaut,Sand King,Slark,Shadow Fiend,Kunkka,Centaur Warrunner,Silencer,True
Slark,Timbersaw,Tinker,Vengeful Spirit,Venomancer,Luna,Zeus,Monkey King,Faceless Void,Bloodseeker,False
Bristleback,Bloodseeker,Batrider,Sven,Sniper,Crystal Maiden,Necrophos,Zeus,Pudge,Lifestealer,False
Terrorblade,Timbersaw,Anti-Mage,Invoker,Morphling,Pudge,Slark,Zeus,Necrophos,Ogre Magi,False
Spirit Breaker,Bristleback,Crystal Maiden,Mirana,Broodmother,Ursa,Dark Seer,Riki,Wraith King,Necrophos,False
Lina,Sniper,Batrider,Troll Warlord,Drow Ranger,Jakiro,Spirit Breaker,Ogre Magi,Phantom Assassin,Disruptor,False
Brewmaster,Slark,Axe,Lina,Dazzle,Viper,Puck,Pudge,Phantom Assassin,Skywrath Mage,False
Disruptor,Pudge,Monkey King,Juggernaut,Lich,Rubick,Outworld Devourer,Drow Ranger,Pugna,Bristleback,False
Keeper of the Light,Windranger,Pudge,Invoker,Wraith King,Sniper,Anti-Mage,Silencer,Slardar,Ursa,False
Lich,Lina,Enigma,Axe,Clockwerk,Luna,Centaur Warrunner,Phoenix,Chaos Knight,Clinkz,False
Juggernaut,Queen of Pain,Dazzle,Dark Seer,Ogre Magi,Tidehunter,Templar Assassin,Windranger,Tiny,Puck,True
Sand King,Night Stalker,Bloodseeker,Axe,Ancient Apparition,Dragon Knight,Nyx Assassin,Nature's Prophet,Naga Siren,Kunkka,False
Sven,Lich,Nature's Prophet,Necrophos,Invoker,Monkey King,Pudge,Riki,Windranger,Faceless Void,False
Earthshaker,Drow Ranger,Vengeful Spirit,Shadow Shaman,Invoker,Lich,Phantom Lancer,Ancient Apparition,Doom,Viper,True
Sniper,Sven,Pudge,Lina,Crystal Maiden,Ember Spirit,Faceless Void,Shadow Shaman,Keeper of the Light,Invoker,True
Pudge,Lycan,Razor,Phantom Lancer,Legion Commander,Luna,Faceless Void,Tidehunter,Troll Warlord,Magnus,False
Death Prophet,Drow Ranger,Earthshaker,Io,Pugna,Broodmother,Weaver,Oracle,Brewmaster,Faceless Void,True
Invoker,Bounty Hunter,Alchemist,Monkey King,Phantom Assassin,Terrorblade,Riki,Sniper,Tinker,Zeus,False
Bristleback,Pudge,Spirit Breaker,Riki,Bloodseeker,Earthshaker,Axe,Shadow Fiend,Phantom Lancer,Slark,True
Vengeful Spirit,Pudge,Outworld Devourer,Terrorblade,Sand King,Silencer,Earthshaker,Faceless Void,Legion Commander,Invoker,True
Morphling,Necrophos,Nyx Assassin,Magnus,Dazzle,Treant Protector,Brewmaster,Huskar,Shadow Fiend,Phantom Lancer,False
Gyrocopter,Dragon Knight,Invoker,Enchantress,Oracle,Rubick,Venomancer,Lion,Phantom Lancer,Spirit Breaker,False
Legion Commander,Omniknight,Disruptor,Shadow Fiend,Slark,Juggernaut,Tiny,Anti-Mage,Undying,Ember Spirit,False
Troll Warlord,Riki,Luna,Drow Ranger,Slardar,Phantom Assassin,Skywrath Mage,Slark,Alchemist,Nyx Assassin,False
Sand King,Spectre,Jakiro,Weaver,Invoker,Templar Assassin,Lion,Abaddon,Disruptor,Lycan,True
Night Stalker,Necrophos,Windranger,Luna,Pudge,Faceless Void,Kunkka,Elder Titan,Invoker,Magnus,False
Shadow Shaman,Medusa,Lina,Bristleback,Witch Doctor,Shadow Demon,Monkey King,Io,Sven,Sand King,True
Rubick,Sven,Dragon Knight,Enigma,Pudge,Medusa,Centaur Warrunner,Sand King,Skywrath Mage,Venomancer,True
Bounty Hunter,Shadow Shaman,Io,Riki,Dragon Knight,Warlock,Invoker,Spirit Breaker,Bloodseeker,Ursa,False
Bloodseeker,Disruptor,Witch Doctor,Winter Wyvern,Mirana,Ursa,Windranger,Clockwerk,Crystal Maiden,Lycan,False
Skywrath Mage,Alchemist,Oracle,Windranger,Necrophos,Lycan,Broodmother,Morphling,Doom,Tinker,False
Lina,Slark,Invoker,Sniper,Earth Spirit,Monkey King,Weaver,Rubick,Anti-Mage,Drow Ranger,False
Treant Protector,Lina,Underlord,Tiny,Wraith King,Riki,Death Prophet,Storm Spirit,Witch Doctor,Ursa,True
Phantom Assassin,Slardar,Mirana,Windranger,Storm Spirit,Weaver,Kunkka,Lifestealer,Spirit Breaker,Visage,True
Timbersaw,Vengeful Spirit,Clinkz,Treant Protector,Abaddon,Puck,Monkey King,Earthshaker,Phantom Assassin,Ancient Apparition,True
Kunkka,Queen of Pain,Sniper,Huskar,Bloodseeker,Legion Commander,Pudge,Anti-Mage,Skywrath Mage,Troll Warlord,True
Phantom Assassin,Weaver,Nature's Prophet,Disruptor,Earth Spirit,Pudge,Necrophos,Keeper of the Light,Shadow Fiend,Riki,True
Bloodseeker,Spirit Breaker,Rubick,Clockwerk,Viper,Omniknight,Io,Wraith King,Slark,Queen of Pain,True
Windranger,Shadow Fiend,Lich,Necrophos,Legion Commander,Bloodseeker,Witch Doctor,Sven,Storm Spirit,Lion,True
Slark,Morphling,Centaur Warrunner,Luna,Bane,Nyx Assassin,Nature's Prophet,Windranger,Wraith King,Night Stalker,False
Phantom Assassin,Crystal Maiden,Kunkka,Templar Assassin,Underlord,Shadow Shaman,Rubick,Weaver,Pugna,Pudge,False
